date,headline
2024-01-08,Chinese Reject Nvidia's Low-Power AI Chips
2024-02-20,"Stock Futures Drop Ahead Of Busy Week for Earnings --- Companies due to give results include Nvidia, Home Depot and Walmart"
2024-02-21,"Nvidia, in Wild Stock Ride, Lures Individual Investors"
2024-02-21,Markets & Finance -- Tuesday's Markets: Nvidia Drags Down Stocks Ahead of Earnings Report
2024-02-22,Nvidia Sales More Than Triple --- CEO sees AI reaching 'tipping point' as chip maker nears $2 trillion valuation
2024-02-22,"Nasdaq Falls; S&P, Dow End Higher --- Nvidia's after-the- bell earnings release hung over market, pressed tech stocks"
2024-02-23,Nvidia Shares Ignite Markets Across Globe
2024-02-24,"EXCHANGE --- The Score / The Business Week in 5 Stocks: Discover Finds a Buyer, Nvidia Hits New Heights"
2024-02-24,EXCHANGE --- Friday's Markets: AI Mania Lifts Major Indexes to Records --- Nvidia's earnings report gives the 2024 stock-market rally fresh legs
2024-02-24,"Red-Hot Nvidia's Valuation Touches $2 Trillion --- AI frenzy drives chip stock briefly past mark; only Microsoft, Apple valued higher"
2024-02-26,Nvidia's Rivals See Shifting AI Market As a Boon --- Sector's transition offers opportunity for competitors with less-powerful chips
2024-02-26,Nvidia Draws In More Believers --- Chip maker cashing in on AI craze seems to many like an unstoppable force
2024-02-27,Nvidia's Ascent Makes It a Target --- The chip maker's own customers look to move in on its booming AI business
2024-02-27,Market Darling Nvidia Is Also Hot Employer
2024-02-28,Nvidia Benefits From Surge in Corporate AI Spending
2024-03-01,"MANSION --- The Market: In Nvidia's Backyard --- It's nearly impossible to find a home to buy in Santa Clara, Calif., but that's not the company's fault"
2024-03-04,Nvidia's Surge Stirs Talk of A Bubble
2024-03-05,Markets & Finance -- Monday's Markets: Stocks Sag on Weakness In Magnificent Seven Shares --- Nvidia was lone gainer in big tech group; Six of 11 S&P sectors advance
2024-03-08,"MANSION --- Portfolio: A Chip on The Old Block --- Jensen Huang, chip-maker Nvidia's CEO, has spent around $55 million on real estate since the late 1980s"
2024-03-11,Nvidia Embraces Role As a Formidable Force In Startup Investing
2024-03-12,Nvidia AI Tool Faces Copyright Suit
2024-03-18,"Newest S&P 500 Entrant Makes AI Splash --- Shares of server maker Super Micro skyrocket, topping even those of Nvidia"
2024-03-19,Nvidia Draws Thousands to Chip Reveal --- CEO Huang appears with tech luminaries at an event dubbed 'AI Woodstock'
2024-03-20,Nvidia To Price AI Chips For Wide User Base
2024-03-20,"Nontech Firms Like It in Nvidia's Orbit --- Executives in finance, energy, other fields tell of benefits from ties to the company"
2024-04-04,Nvidia Partner Bets Big on Midwest
2024-04-19,Nvidia's Biggest Manufacturer Doubles Down on Chips for AI
2024-05-02,AI Cloud Startup Raises $1 Billion --- Nvidia-backed CoreWeave nearly triples its valuation in a few months
2024-05-18,EXCHANGE --- Science of Success: The 84-Year-Old Man Who Saved Nvidia --- It's a $2 trillion company today. It wouldn't exist without Irimajiri-san.
2024-05-23,Nvidia's Sales Triple on AI Boom's Stamina --- Hot chip market spurs soaring results and better-than- expected forecast
2024-05-24,"Nvidia Surge Faces Test From Rivals, Market"
2024-05-24,Stocks Drop Despite Nvidia's Big Rally --- Dow Jones industrials fall 600 points in worst day since March 2023
2024-05-25,"EXCHANGE --- The Score / The Business Week in 7 Stocks: Retailers' Sales Slow, a New Record for Nvidia"
2024-05-29,Nasdaq Climbs on Rally in Nvidia --- Increase in yields on Treasury bonds weighs on broader stock market
2024-06-06,Musk Confirms Diverting Nvidia Chips From Tesla
2024-06-06,"Nvidia Market Cap Tops $3 Trillion, Surpasses Apple"
2024-06-07,Tech-Stock Pullback Weighs on S&P 500 --- Declines in Nvidia and Apple were offset in part by gains in other areas
2024-06-08,"EXCHANGE --- The Score / The Business Week in 6 Stocks: Nvidia Keeps Soaring, Dollar Tree Sinks"
2024-06-08,EXCHANGE --- Nvidia's Shares Will Be More Affordable After Friday's Close With a 10-for-1 Split
2024-06-10,Nvidia Gets Lift From Nations' AI Efforts
2024-06-20,Global Stocks Mixed After Nvidia Spurs U.S. Records
2024-06-20,"Nvidia Becomes Biggest Company In World --- Market cap swells to top Microsoft's, echoing Cisco's rise in the dot-com boom"
2024-06-22,"EXCHANGE --- The Score / The Business Week in 6 Stocks: Gilead's Breakthrough, Nvidia's Milestone"
2024-06-22,"EXCHANGE --- SoftBank's Founder Bemoans Early Exit From Nvidia, Missing $150 Billion Gain"
2024-06-25,"Nvidia Pulls S&P 500, Nasdaq Lower --- Stocks end broadly higher outside of technology sector, as Dow gains 0.7%"
2024-06-26,"Nvidia Rebound Drives Up Nasdaq, S&P, but Dow Falls --- Chip maker climbs 6.8% after losing $430 billion in market cap in days"
2024-07-01,Nvidia Made Its Mark on Quarter --- Enthusiasm for the stock grew while the S&P saw large performance gap
2024-07-03,Underground Network Funnels Banned Nvidia Chips to China
2024-07-23,"Nvidia, Chips Send Stocks Higher --- Meanwhile, Biden's election exit left little consensus among investors"
2024-08-26,China Quietly Accesses Banned Nvidia Chips
2024-08-28,Nvidia Draws Big Bets
2024-08-29,Markets & Finance -- Wednesday's Markets: Nasdaq Leads Major Indexes Lower --- Nvidia loses ground in late trading after reporting results after the bell
2024-08-29,"Nvidia Delivers Strong Results, Outlook --- Chip maker's sales more than doubled in quarter; shares decline after hours"
2024-08-30,Markets & Finance -- Thursday's Markets: Stock Indexes Mainly Brush Off Disappointing Nvidia Results
2024-08-30,"Nvidia's Big New Chips Pose Cost, Output Issues"
2024-08-30,Asian Chip Stocks Retreat Following Nvidia's Tumble
2024-08-30,"Apple, Nvidia in OpenAI Talks --- Tech giants would join multibillion- dollar funding round alongside Microsoft"
2024-08-31,"EXCHANGE --- The Score / The Business Week in 6 Stocks: Nvidia Finally Slows, Dollar General Drops"
2024-09-03,Nvidia Dives Into Data-Hub Design
2024-09-04,Stocks Sell Off On Fears Economy Is Cooling --- Dow slides more than 600 points; Nvidia posts record drop in market value
2024-09-06,Nvidia Joins Other Investors In Backing Applied Digital
2024-09-07,EXCHANGE --- Markets & Finance: Nvidia's Stock Is Influential But Has Risks --- Chip maker is known for greater volatility than some of its megacap peers
2024-09-09,Nvidia Gets Antitrust Scrutiny As U.S. Enforcers Examine AI
2024-10-23,Nvidia Chief Tells Leaders To Build AI-First Companies
2024-11-02,"EXCHANGE --- Markets & Finance: Nvidia to Replace Intel in the Dow, Sherwin-Williams Will Also Join"
2024-11-15,Nvidia Sets Launch of Robot Tech --- Company targets 2025's first half for release of computers for automatons
2024-11-19,Traders Bet on Nvidia Ahead of Its Earnings
2024-11-20,"Markets -- Tuesday's Markets: Nasdaq Rises, Bond Yields Fall; Nvidia Rallies Before Earnings"
2024-11-20,Markets: Nvidia Stock Looks to Ace Another Test
2024-11-21,Markets -- Wednesday's Markets: Nvidia Shares Fall After Earnings
2024-11-21,"Nvidia's Sales Jump, Lifted by AI Outlook"
2024-11-25,Companies Vie to Put Most Nvidia Chips in One Place
2024-12-10,Markets & Finance -- Monday's Markets: Indexes Decline as Nvidia Probe By China Weighs on the Chip Stock
2024-12-10,China Probes Nvidia Over Antitrust Claims
2024-12-12,"World News: China Hits Back as U.S. Trade War Looms --- Moves on Nvidia, critical minerals, drones signal array of retaliatory measures"
2024-12-18,Nvidia Targets Small Companies
2024-12-23,EU Clears Nvidia's Takeover Of Run:ai
2024-12-31,Nvidia Closes Acquisition Of Israeli Startup Run:ai --- Regulators across the globe had looked at the transaction over past months
