date,headline
2024-01-01,Jeremy Grantham rang the alarm on an 'everything bubble' and warned the S&P 500 could be cut in half. Here are the elite investor's 10 best quotes of 2023.
2024-01-02,Moderna Stock Is Top Performer in S&P 500 After Miserable 2023. Why This Year Could Be Better.
2024-01-03,Divining the likely patterns for S&P 500 and Nasdaq in 2024
2024-01-03,Bill Ackman's High-Fee Fund Looks Appealing After Topping S&P 500 in 2023
2024-01-06,"EXCHANGE --- Friday's Markets: Stocks Start New Year With Weekly Loss --- S&P 500 finished the week down 1.5%, snapping a nine- week winning streak"
2024-01-06,"The S&P 500 could crash by 30%, a recession is likely underway, and interest rates might not fall before summer, market prophet says"
2024-01-06,WORLD MARKETS AT A GLANCE Change during previous day's trading (%) S&P 500: MARKET DATA [Europe Region]
2024-01-08,UBS lifts its S&P 500 price target 6% and trumpets a dream 'soft landing' outcome
2024-01-08,"Britain's best-paid woman made over $300 million last year, outearning all the CEOs of S&P 500 companies"
2024-01-08,A record high in the S&P 500 would suggest double-digit gains in 2024
2024-01-09,"'Magnificent Seven' Lift Stocks --- S&P 500, Nasdaq Composite post best performances since November"
2024-01-09,"The S&P 500 might leap 10% to a record high this year - but plunging interest rates could spell trouble for stocks, Wharton professor Jeremy Siegel says"
2024-01-09,"RBC boosts its S&P 500 price target this year to 5,150 but warns that it will be a choppy year ahead"
2024-01-09,Hedge Funds Lag Behind the S&P 500. Ken Griffin's Citadel Is an Exception.
2024-01-10,"Stock market today: S&P 500 futures edge up as Intuitive Surgical, Match Group, Lennar rise"
2024-01-10,"Buying the S&P 500 seems like a 'pretty lousy trade' right now - and a US recession is looming, billionaire investor Jeffrey Gundlach says"
2024-01-10,Why S&P 500 Pain Could Turn to Gains
2024-01-11,Anatomy of a Rally: How S&P 500 Got Back to Record Levels
2024-01-13,EXCHANGE --- Friday's Markets: S&P 500 Misses Record Despite Weekly Gain --- Index is within 0.3% of a record high that has stood for more than two years
2024-01-13,Change during previous day's trading (%) S&P 500: MARKET DATA
2024-01-14,S&P 500s Magnificent Seven stocks outlook in 2024
2024-01-15,"The S&P 500 looks risky, there's a 75% chance of recession this year, and a firing frenzy is looming, elite investor Jeffrey Gundlach says"
2024-01-15,"CHART OF THE DAY: Technology stocks will grow to 50% of the S&P 500 amid a growing labor shortage, Fundstrat says"
2024-01-18,"Top money managers warn that 2024 earnings expectations are getting out of hand, even as Wall Street firms scramble to raise their S&P 500 targets"
2024-01-19,S&P 500 closes at a new all-time high as fresh data drives optimism for rate cuts
2024-01-19,AutoNation Stock Has Crushed the S&P 500. Edward Lampert Keeps Selling Shares.
2024-01-19,S&P 500 hits all-time high as new economic data fuels rate-cut bets
2024-01-20,Indian stock market: 6 key things that changed for market overnight - S&P 500 at record to US consumer sentiment
2024-01-20,EXCHANGE --- Friday's Markets: S&P 500 Climbs 1.2% to a Record --- Benchmark index surpasses its previous high set two years ago
2024-01-20,Wall Street limps to all-time high as 'sugar rush' fades: Equities. S&amp;P 500 Tech stocks nudge index past its January 2022 record after broad-based rally fizzles out
2024-01-21,"The chartmaster who predicted the robust year-end rally shares when the S&P 500 will break through the 5,000 milestone - and outlines a 4-part investing blueprint for a disappointing pullback"
2024-01-22,"The S&P 500 Finally Recovers. Why Earnings, the Fed Could Stall It."
2024-01-22,The S&P 500 just hit an all-time high - but many other US stocks are still in a bear market
2024-01-22,"The S&P 500 May Be Pricey, but These Sectors Could Outperform"
2024-01-22,"A 1990s-style stock melt-up is now possible after the S&P 500 hit record highs, market veteran says"
2024-01-22,Why JPMorgan is still bearish on stocks even after the latest record high for the S&P 500
2024-01-22,"Investors warned, despite S&P 500 highs"
2024-01-22,The Magnificent 7 Are Pushing the S&P 500 to New Highs. What It Means for Investors.
2024-01-23,"Dow Climbs Above 38000 for First Time --- Blue chips get lift from tech giants, Goldman; S&P 500 sets another record"
2024-01-23,"The rally in stocks still has room to run after the S&P 500 cruised to a new high, UBS says"
2024-01-23,The Magnificent 7 Are Pushing the S&P 500 to New Highs. What It Means for Investors.
2024-01-23,Stocks Are Threatened by Rising Bond Yields. How Far the S&P 500 Could Fall.
2024-01-24,S&P 500 rises to another fresh record as earnings optimism powers rally
2024-01-24,"World markets today: US stocks surge, S&P 500 hits fresh record high; Netflix climbs over 12%"
2024-01-24,Plain-Vanilla S&P 500 Index Funds Are Out. Here's What In.
2024-01-24,"World markets today: US stocks jump, S&P 500 hits fresh record high, Netflix climbs over 12%"
2024-01-24,"Bitcoin Price Rebounds Above $40,000. Thank the S&P 500."
2024-01-24,Earnings Drive S&P 500 to Another High --- Dow industrials retreat below 38000; airlines power increases
2024-01-25,"S&P 500 Sets Fourth High in Row --- Netflix climbs 11%, biggest winner on day in broad market benchmark"
2024-01-25,CME Stock Beat the S&P 500. One Director Bought Up Stock.
2024-01-25,United Rentals Stock Is Among the Top S&P 500 Performers on Thursday. Here's Why.
2024-01-25,"Bitcoin ETFs Make the Crypto More Like the S&P 500, Analyst Says. Why That's a Bad Thing."
2024-01-26,"US Market: Wall Street rises on strong GDP data, S&P 500 sets a new record"
2024-01-26,"Wall Street legend Burt Malkiel dismisses S&P 500 and recession forecasts, slams bitcoin, and warns pricey stocks may limit investors' returns"
2024-01-29,"Tech Leads S&P 500 To Records, Others Lag"
2024-01-29,"Big Tech Earnings, Fed Decision, Jobs Why S&P 500's Record Run Could Derail."
2024-01-29,Archer Daniels Is S&P 500's Top Stock Monday. Intersegment Sales Won't 'Materially Affect' Results.
2024-01-30,Indian stock market: 5 key things that changed for market overnight - Gift Nifty to S&P 500 at record closing high
2024-01-30,"Stocks Move Higher Ahead of Fed Meeting --- S&P 500, Dow hit records with tech earnings, jobs data on tap this week"
2024-01-30,MSCI Stock Is the S&P 500's Top Performer on Tuesday. Demand Drives an Earnings Beat.
2024-01-30,"World: Weekly markets wrap: S&P 500 hits new records, luxury stocks soar"
2024-01-31,Tech Sector Pushes S&P 500 Off Record --- General Motors gains 7.8% on surprisingly strong 2024 profit outlook
2024-01-31,Market prophet Gary Shilling expects S&P 500 returns to slump - and warns a recession could stretch into 2025
2024-02-01,C.H. Robinson Stock Is S&P 500's Worst Performer Thursday. Freight Demand Is Weak.
2024-02-02,The stock market is reliving the dot-com tech bubble as the Magnificent 7 account for 45% of S&P 500 gains to start the year
2024-02-02,Charter Stock Is Worst Performer in S&P 500 on Friday After Subscriber Losses
2024-02-03,"EXCHANGE --- Friday's Markets: S&P 500, Dow Reach New Highs"
2024-02-05,S&P 500's current rally likely to stall
2024-02-05,Air Products Stock Is Worst S&P 500 Performer on Monday After Steep Guidance Cut
2024-02-07,"World markets today: US stocks gain on strong earnings, S&P 500 hits fresh record high"
2024-02-07,'Stocks can get whacked': A 44-year market veteran warned the S&P 500 could fall 28% as earnings and rate cuts disappoint - but these 6 investments will thrive anyway
2024-02-08,"Stocks Rise, S&P 500 Nears Milestone --- Major indexes climb despite tempered market hopes for Fed rate cuts"
2024-02-08,"Gary Shilling says the S&P 500 may crash 30%, a recession will hit - and bitcoin and AI are both overhyped"
2024-02-08,"US stocks trade mixed as S&P 500 hovers near 5,000"
2024-02-08,Why the S&P 500 keeps crushing record highs in 2024
2024-02-08,"US stocks rise as S&P 500 falls short of 5,000 milestone"
2024-02-09,S&P 500 Hits Intraday Record of 5000 --- A drumbeat of earnings reports drives moves in individual stocks
2024-02-09,"The S&P 500 Is Blazing But China Stocks Need Some Dragon Year Fire, and 5 Other Things to Know Before Markets Open"
2024-02-09,"The S&P 500 just cracked 5,000 points - but don't count on its stellar returns continuing"
2024-02-09,"US stocks rise as S&P 500 sails past 5,000, boosted by cooling inflation data"
2024-02-09,"S&P 500 briefly tops 5,000 on Wall Street"
2024-02-10,The Bull Market Rolls On as the S&P 500 Breaks Through 5000. Play Ball!
2024-02-10,WORLD MARKETS AT A GLANCE Change during previous day's trading (%) S&P 500: MARKET DATA [Europe Region]
2024-02-11,"Wall Street passes its latest milestone as S&P 500 closes week above 5,000"
2024-02-11,"S&P 500 rockets from 4,000 to 5,000"
2024-02-12,World: European shares rise as S&P 500 hits record high as earnings thrill
2024-02-12,Why the S&P 500's 'ridiculous' winning streak could soon sputter
2024-02-12,"Stock market today: futures take a breather after S&P 500 closes above 5,000 points"
2024-02-12,The S&P 500 Broke 5000. Where the Stock Market Goes Next.
2024-02-12,VF Corp. Stock Is the S&P 500's Top Performer Monday. Here's Why.
2024-02-12,"Why the S&P 500 Can Shrug Off a Hot Inflation Surprise, and 5 Other Things to Know Before Markets Open"
2024-02-13,"Tesla, Nvidia, and the Magnificent 7 Are Macro Risks Now. What It Means for the S&P 500."
2024-02-13,Ecolab Is the S&P 500's Top Stock Tuesday. Here's Why.
2024-02-13,"World markets today: US stocks sink after inflation data dampens rate cut hopes; Dow, S&P 500, Nasdaq dip over 1%"
2024-02-13,"These 3 stocks could lead the charge for a 19% surge in the S&P 500 to 6,000 this year, according to a market research firm that counts Wall Street's top banks among its clients"
2024-02-13,"Bitcoin Soars to $50,000. Can Crypto Follow the S&P 500 to Record Highs?"
2024-02-14,"Bitcoin Tears Higher, Bucking Inflation Data Pressure on the S&P 500"
2024-02-14,A top 2% fund manager crushing the S&P 500 over the last 4 years despite owning none of the 'Magnificent 7' shares 7 stocks he's betting on - and breaks down the 4 guiding principles he uses to beat the market
2024-02-14,MGM Is the S&P 500's Worst Stock on Wednesday. Why the Casino's Shares Are Falling.
2024-02-14,"The S&P 500 would have to climb another 25% to reach dot-com-era 'irrational exuberance,' SocGen says"
2024-02-15,"Technology Stocks Lead Market Recovery --- Nine of S&P 500's 11 sectors rise, Russell 2000 index of small- caps rebounds"
2024-02-15,Zebra Is the S&P 500's Top Stock. Its Customers Are Feeling Better.
2024-02-15,S&P 500 companies are more obsessed than ever with AI
2024-02-17,S&P 500's True Tech Weighting Tops 40%. Why the Index Is So Hard to Beat.
2024-02-18,"The S&P 500 could rise as high as 5600, and these 8 ETFs are poised for big upside along the way: Bank of America"
2024-02-18,A hedge-fund manager overseeing $120 million shares 4 recession-proof stocks he's betting on for 2024 - and warns the S&P 500 is priced for perfection
2024-02-19,Goldman Ignores the Fed and Lifts Target for S&P 500 Stocks
2024-02-19,S&P 500 shows strong momentum after record close
2024-02-19,Bitcoin Is Rising. Presidents Day and S&P 500 Closure May Usher in More Gains.
2024-02-20,Goldman Sachs now sees the S&P 500 climbing another 4% this year on mega-cap earnings strength
