Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,FindACopy,Database
Nvidia Closes Acquisition Of Israeli Startup Run:ai --- Regulators across the globe had looked at the transaction over past months,3150219592,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 31, 2024",0099-9660, English, English," New York, N.Y.","Dec 31, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-closes-acquisition-israeli-startup-run-ai/docview/3150219592/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Closes+Acquisition+Of+Israeli+Startup+Run%3Aai+---+Regulators+across+the+globe+had+looked+at+the+transaction+over+past+months&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Closes+Acquisition+Of+Israeli+Startup+Run%3Aai+---+Regulators+across+the+globe+had+looked+at+the+transaction+over+past+months&amp;spage=B4&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
EU Clears Nvidia's Takeover Of Run:ai,3148106580,Newspapers,"Hancock, Edith", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 23, 2024",0099-9660, English, English," New York, N.Y.","Dec 23, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/eu-clears-nvidias-takeover-run-ai/docview/3148106580/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EU+Clears+Nvidia%27s+Takeover+Of+Run%3Aai&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EU+Clears+Nvidia%27s+Takeover+Of+Run%3Aai&amp;spage=B4&amp;sid=ProQ%3Aabiglobal&amp;author=Hancock,ABI/INFORM Collection
Nvidia Targets Small Companies,3146019161,Newspapers,"Yang, Jie", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 18, 2024",0099-9660, English, English," New York, N.Y.","Dec 18, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-targets-small-companies/docview/3146019161/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Targets+Small+Companies&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Targets+Small+Companies&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Yang,ABI/INFORM Collection
"World News: China Hits Back as U.S. Trade War Looms --- Moves on Nvidia, critical minerals, drones signal array of retaliatory measures",3143113632,Newspapers,"Feng, Rebecca;Somerville, Heather;Emont, Jon", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 12, 2024",0099-9660, English, English," New York, N.Y.","Dec 12, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/world-news-china-hits-back-as-u-s-trade-war-looms/docview/3143113632/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=World+News%3A+China+Hits+Back+as+U.S.+Trade+War+Looms+---+Moves+on+Nvidia%2C+critical+minerals%2C+drones+signal+array+of+retaliatory+measures&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=World+News%3A+China+Hits+Back+as+U.S.+Trade+War+Looms+---+Moves+on+Nvidia%2C+critical+minerals%2C+drones+signal+array+of+retaliatory+measures&amp;spage=A.9&amp;sid=ProQ%3Aabiglobal&amp;author=Feng,ABI/INFORM Collection
China Probes Nvidia Over Antitrust Claims,3142423407,Newspapers,"Huang, Raffaele;Lin, Liza", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 10, 2024",0099-9660, English, English," New York, N.Y.","Dec 10, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/china-probes-nvidia-over-antitrust-claims/docview/3142423407/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=China+Probes+Nvidia+Over+Antitrust+Claims&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=China+Probes+Nvidia+Over+Antitrust+Claims&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Huang,ABI/INFORM Collection
Markets & Finance -- Monday's Markets: Indexes Decline as Nvidia Probe By China Weighs on the Chip Stock,3142423378,Newspapers,"Goldfarb, Sam;Barnato, Katy", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 10, 2024",0099-9660, English, English," New York, N.Y.","Dec 10, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-amp-finance-mondays-indexes-decline-as/docview/3142423378/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets+%26amp%3B+Finance+--+Monday%27s+Markets%3A+Indexes+Decline+as+Nvidia+Probe+By+China+Weighs+on+the+Chip+Stock&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets+%26amp%3B+Finance+--+Monday%27s+Markets%3A+Indexes+Decline+as+Nvidia+Probe+By+China+Weighs+on+the+Chip+Stock&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Goldfarb,ABI/INFORM Collection
Companies Vie to Put Most Nvidia Chips in One Place,3132486102,Newspapers,"Fitch, Asa"," X.AI Corp , OpenAI , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 25, 2024",0099-9660, English, English," New York, N.Y.","Nov 25, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/companies-vie-put-most-nvidia-chips-one-place/docview/3132486102/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Companies+Vie+to+Put+Most+Nvidia+Chips+in+One+Place&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Companies+Vie+to+Put+Most+Nvidia+Chips+in+One+Place&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
"Nvidia's Sales Jump, Lifted by AI Outlook",3131058617,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 21, 2024",0099-9660, English, English," New York, N.Y.","Nov 21, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidias-sales-jump-lifted-ai-outlook/docview/3131058617/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia%27s+Sales+Jump%2C+Lifted+by+AI+Outlook&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia%27s+Sales+Jump%2C+Lifted+by+AI+Outlook&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Markets -- Wednesday's Markets: Nvidia Shares Fall After Earnings,3131058589,Newspapers,"Osipovich, Alexander;Dulaney, Chelsey", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 21, 2024",0099-9660, English, English," New York, N.Y.","Nov 21, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-wednesdays-nvidia-shares-fall-after/docview/3131058589/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets+--+Wednesday%27s+Markets%3A+Nvidia+Shares+Fall+After+Earnings&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets+--+Wednesday%27s+Markets%3A+Nvidia+Shares+Fall+After+Earnings&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Osipovich,ABI/INFORM Collection
Markets: Nvidia Stock Looks to Ace Another Test,3130534913,Newspapers,"Lucchetti, Aaron;Jimenez, Ken", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 20, 2024",0099-9660, English, English," New York, N.Y.","Nov 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-nvidia-stock-looks-ace-another-test/docview/3130534913/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets%3A+Nvidia+Stock+Looks+to+Ace+Another+Test&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets%3A+Nvidia+Stock+Looks+to+Ace+Another+Test&amp;spage=B.12&amp;sid=ProQ%3Aabiglobal&amp;author=Lucchetti,ABI/INFORM Collection
