Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,identifierKeywords,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
"PCE Inflation Tops Forecasts, But Slower Wage Growth Soothes Fed; S&P 500 Falls",3124661018,Newspapers,"Graham, Jed",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Oct 31, 2024",, English, English,, Los Angeles,"Oct 31, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/pce-inflation-tops-forecasts-slower-wage-growth/docview/3124661018/se-2?accountid=14762, 52321 Securities and Commodity Exchanges, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges," FINANCE , HUMANRESOURCES , Futures , ECONOMICS , ECONOMICS , ACCTAX , Expenditures , FINANCE , ECONOMICS , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=PCE+Inflation+Tops+Forecasts%2C+But+Slower+Wage+Growth+Soothes+Fed%3B+S%26amp%3BP+500+Falls&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=PCE+Inflation+Tops+Forecasts%2C+But+Slower+Wage+Growth+Soothes+Fed%3B+S%26amp%3BP+500+Falls&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Graham,ABI/INFORM Collection
This Nvidia Partner Is Now The S&P 500's Biggest Loser In 2024,3124628167,Newspapers,"Carson, Ed", NVidia Corp," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Oct 31, 2024",, English, English,, Los Angeles,"Oct 31, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/this-nvidia-partner-is-now-s-amp-p-500s-biggest/docview/3124628167/se-2?accountid=14762, 52321 Securities and Commodity Exchanges, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges," FINANCE , FINANCE",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=This+Nvidia+Partner+Is+Now+The+S%26amp%3BP+500%27s+Biggest+Loser+In+2024&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=This+Nvidia+Partner+Is+Now+The+S%26amp%3BP+500%27s+Biggest+Loser+In+2024&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Carson,ABI/INFORM Collection
"Stock market suffers a Halloween selloff as tech investors get the chills; Dow, S&P 500 see first monthly fall since April",3122704062,Newspapers,"Watts, William",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stock-market-suffers-halloween-selloff-as-tech/docview/3122704062/se-2?accountid=14762,,,,,,," Investments , Investors",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Stock+market+suffers+a+Halloween+selloff+as+tech+investors+get+the+chills%3B+Dow%2C+S%26amp%3BP+500+see+first+monthly+fall+since+April&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Stock+market+suffers+a+Halloween+selloff+as+tech+investors+get+the+chills%3B+Dow%2C+S%26amp%3BP+500+see+first+monthly+fall+since+April&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Watts,ABI/INFORM Collection
"These are the S&P 500's biggest laggards for October, down by as much as 29%; Super Micro joined the list after a 33% drop on Wednesday",3122592369,Newspapers,Philip van Doorn," Elevance Health , AES Corp , First Solar Inc , Moderna Inc , Genuine Parts Co , Align Technology Inc , Erie Indemnity Co , Humana Inc , Supermicro Computer Inc , Enphase Energy Inc , Mohawk Industries Inc , Qorvo Inc , Teradyne Inc , Centene Corp"," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/these-are-s-amp-p-500s-biggest-laggards-october/docview/3122592369/se-2?accountid=14762,,,,,,," SUSTAINABILITY , FINANCE , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=These+are+the+S%26amp%3BP+500%27s+biggest+laggards+for+October%2C+down+by+as+much+as+29%25%3B+Super+Micro+joined+the+list+after+a+33%25+drop+on+Wednesday&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=These+are+the+S%26amp%3BP+500%27s+biggest+laggards+for+October%2C+down+by+as+much+as+29%25%3B+Super+Micro+joined+the+list+after+a+33%25+drop+on+Wednesday&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Philip+van+Doorn,ABI/INFORM Collection
United Airlines and Nvidia bookend list of 15 soaring S&P 500 stocks in October; Two airlines and two cruise lines make the list of the month's best performers in the U.S. benchmark index,3122533718,Newspapers,Philip van Doorn," United Airlines Holdings Inc , NVidia Corp"," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/united-airlines-nvidia-bookend-list-15-soaring-s/docview/3122533718/se-2?accountid=14762, 48111 Scheduled Air Transportation, 48111 Scheduled Air Transportation,, 48111 Scheduled Air Transportation,, 48111 Scheduled Air Transportation, INDUSTRY,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=United+Airlines+and+Nvidia+bookend+list+of+15+soaring+S%26amp%3BP+500+stocks+in+October%3B+Two+airlines+and+two+cruise+lines+make+the+list+of+the+month%27s+best+performers+in+the+U.S.+benchmark+index&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=United+Airlines+and+Nvidia+bookend+list+of+15+soaring+S%26amp%3BP+500+stocks+in+October%3B+Two+airlines+and+two+cruise+lines+make+the+list+of+the+month%27s+best+performers+in+the+U.S.+benchmark+index&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Philip+van+Doorn,ABI/INFORM Collection
This stock-option strategy can give you a winning trade around the presidential election; A plan to lock in a profit no matter how the S&P 500 reacts after Election Day,3122533707,Newspapers,"McMillan, Lawrence G", New York Stock Exchange--NYSE," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/this-stock-option-strategy-can-give-you-winning/docview/3122533707/se-2?accountid=14762, 92111 Executive Offices, 92111 Executive Offices,, 92111 Executive Offices,, 92111 Executive Offices," Prices , Presidential elections , FINANCE , SUSTAINABILITY , United States--US",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=This+stock-option+strategy+can+give+you+a+winning+trade+around+the+presidential+election%3B+A+plan+to+lock+in+a+profit+no+matter+how+the+S%26amp%3BP+500+reacts+after+Election+Day&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=This+stock-option+strategy+can+give+you+a+winning+trade+around+the+presidential+election%3B+A+plan+to+lock+in+a+profit+no+matter+how+the+S%26amp%3BP+500+reacts+after+Election+Day&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=McMillan,ABI/INFORM Collection
Why 'Trump trades' and 'Harris trades' could be just regular stock-market bets; Here's what the S&P 500 sectors are really saying about their presidential election preference,3122502351,Newspapers,"Hulbert, Mark",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/why-trump-trades-harris-could-be-just-regular/docview/3122502351/se-2?accountid=14762, 92111 Executive Offices, 92111 Executive Offices,, 92111 Executive Offices,, 92111 Executive Offices," Primaries & caucuses , Election results , Investments , Presidential elections , Investors , FINANCE , United States--US , Harris, Kamala , Trump, Donald J",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Why+%27Trump+trades%27+and+%27Harris+trades%27+could+be+just+regular+stock-market+bets%3B+Here%27s+what+the+S%26amp%3BP+500+sectors+are+really+saying+about+their+presidential+election+preference&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Why+%27Trump+trades%27+and+%27Harris+trades%27+could+be+just+regular+stock-market+bets%3B+Here%27s+what+the+S%26amp%3BP+500+sectors+are+really+saying+about+their+presidential+election+preference&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Hulbert,ABI/INFORM Collection
Companies are increasingly talking about tariffs as Election Day nears; Here's how earnings calls for S&P 500 companies have featured what Trump has described as his favorite word,3122495219,Newspapers,"Reklaitis, Victor",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 31, 2024",, English, English,, South Brunswick,"Oct 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/companies-are-increasingly-talking-about-tariffs/docview/3122495219/se-2?accountid=14762,,,,,,," Nominations , ECONOMICS",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Companies+are+increasingly+talking+about+tariffs+as+Election+Day+nears%3B+Here%27s+how+earnings+calls+for+S%26amp%3BP+500+companies+have+featured+what+Trump+has+described+as+his+favorite+word&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Companies+are+increasingly+talking+about+tariffs+as+Election+Day+nears%3B+Here%27s+how+earnings+calls+for+S%26amp%3BP+500+companies+have+featured+what+Trump+has+described+as+his+favorite+word&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Reklaitis,ABI/INFORM Collection
"THE SQUARE MILE AND ME: WE DIG INTO THE MEMORY BANK OF THE CITY'S GREAT AND GOOD. TODAY, WE SPEAK TO MIKE SLEIGHTHOLME, PRESIDENT OF S&AMP;P 500 FINTECH BROADRIDGE INTERNATIONAL",3122404973,Newspapers,"Sleightholme, Mike",," Copyright © 2024 City A.M., All Rights reserved.", News," Oct 31, 2024",2516-5445, English, English,, London,"Oct 31, 2024",City A.M.,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/square-mile-me/docview/3122404973/se-2?accountid=14762,,,,, 15,," HUMANRESOURCES , HUMANRESOURCES , China , Hong Kong China",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=25165445&amp;title=THE+SQUARE+MILE+AND+ME&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=THE+SQUARE+MILE+AND+ME%3A+WE+DIG+INTO+THE+MEMORY+BANK+OF+THE+CITY%27S+GREAT+AND+GOOD.+TODAY%2C+WE+SPEAK+TO+MIKE+SLEIGHTHOLME%2C+PRESIDENT+OF+S%26amp%3BAMP%3BP+500+FINTECH+BROADRIDGE+INTERNATIONAL&amp;spage=15&amp;sid=ProQ%3Aabidateline&amp;author=Sleightholme,ABI/INFORM Collection
"Strong Consumer, ADP Jobs Report Overshadow GDP Miss; S&P 500 Pauses",3124653091,Newspapers,"Graham, Jed",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Oct 30, 2024",, English, English,, Los Angeles,"Oct 30, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/strong-consumer-adp-jobs-report-overshadow-gdp/docview/3124653091/se-2?accountid=14762," 92113 Public Finance Activities , 52111 Monetary Authorities-Central Bank"," 92113 Public Finance Activities , 52111 Monetary Authorities-Central Bank",," 92113 Public Finance Activities , 52111 Monetary Authorities-Central Bank",," 92113 Public Finance Activities , 52111 Monetary Authorities-Central Bank"," Futures , ECONOMICS , ECONOMICS , ECONOMICS , Expenditures , ECONOMICS , ECONOMICS , Investments , United States--US",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Strong+Consumer%2C+ADP+Jobs+Report+Overshadow+GDP+Miss%3B+S%26amp%3BP+500+Pauses&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Strong+Consumer%2C+ADP+Jobs+Report+Overshadow+GDP+Miss%3B+S%26amp%3BP+500+Pauses&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Graham,ABI/INFORM Collection
