Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,identifierKeywords,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Palantir Is 2024's S&P 500 King. These 9 Stocks Also Had Huge Gains.,3150421801,Newspapers,"Carson, Ed",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 31, 2024",, English, English, Los Angeles,"Dec 31, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/palantir-is-2024s-s-p-500-king-these-9-stocks/docview/3150421801/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Palantir+Is+2024%27s+S%26P+500+King.+These+9+Stocks+Also+Had+Huge+Gains.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Palantir+Is+2024%27s+S%26amp%3BP+500+King.+These+9+Stocks+Also+Had+Huge+Gains.&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Carson,ABI/INFORM Collection
Warren Buffett tells people to buy an S&P 500 index fund. A celebrity tech investor says they face a 'rude awakening.',3150325106,Newspapers,"Theron, Mohamed",," Copyright Insider, Inc. 2024", News," Dec 31, 2024",, English, English, New York,"Dec 31, 2024",Business Insider,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/warren-buffett-tells-people-buy-s-amp-p-500-index/docview/3150325106/se-2?accountid=14762," 52591 Open-End Investment Funds , 52321 Securities and Commodity Exchanges"," 52591 Open-End Investment Funds , 52321 Securities and Commodity Exchanges"," trending-uk , finance , warren-buffett , chamath-palihapitiya , berkshire-hathaway , sp-500 , index-funds , tech-stocks , big-tech , magnificent-seven , diversification"," 52591 Open-End Investment Funds , 52321 Securities and Commodity Exchanges",," 52591 Open-End Investment Funds , 52321 Securities and Commodity Exchanges"," FINANCE , Investments , FINANCE , FINANCE , Investors , SUSTAINABILITY , Buffett, Warren"," trending-uk , finance , warren-buffett , chamath-palihapitiya , berkshire-hathaway , sp-500 , index-funds , tech-stocks , big-tech , magnificent-seven , diversification",https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Warren+Buffett+tells+people+to+buy+an+S%26amp%3BP+500+index+fund.+A+celebrity+tech+investor+says+they+face+a+%27rude+awakening.%27&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Warren+Buffett+tells+people+to+buy+an+S%26amp%3BP+500+index+fund.+A+celebrity+tech+investor+says+they+face+a+%27rude+awakening.%27&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Theron,ABI/INFORM Collection
"Walgreens and Intel lead list of stocks in the S&P 500 that fell hardest 2024; During another excellent year for the broad U.S. stock market, 96 stocks among the S&P 500 showed double-digit declines",3150323422,Newspapers,Philip van Doorn,," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 31, 2024",, English, English, South Brunswick,"Dec 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/walgreens-intel-lead-list-stocks-s-amp-p-500-that/docview/3150323422/se-2?accountid=14762,,,,,,, FINANCE,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Walgreens+and+Intel+lead+list+of+stocks+in+the+S%26amp%3BP+500+that+fell+hardest+2024%3B+During+another+excellent+year+for+the+broad+U.S.+stock+market%2C+96+stocks+among+the+S%26amp%3BP+500+showed+double-digit+declines&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Walgreens+and+Intel+lead+list+of+stocks+in+the+S%26amp%3BP+500+that+fell+hardest+2024%3B+During+another+excellent+year+for+the+broad+U.S.+stock+market%2C+96+stocks+among+the+S%26amp%3BP+500+showed+double-digit+declines&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Philip+van+Doorn,ABI/INFORM Collection
Nvidia Stock Has Soared 176% This Year. These 2 S&P 500 Companies Have Beaten It.,3150315579,Newspapers,"Ohlen, Elsa",," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 31, 2024",, English, English, New York,"Dec 31, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-stock-has-soared-176-this-year-these-2-s/docview/3150315579/se-2?accountid=14762,,,,,,," SUSTAINABILITY , ENTREP",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Nvidia+Stock+Has+Soared+176%25+This+Year.+These+2+S%26amp%3BP+500+Companies+Have+Beaten+It.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Stock+Has+Soared+176%25+This+Year.+These+2+S%26amp%3BP+500+Companies+Have+Beaten+It.&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=Ohlen,"ABI/INFORM Collection, Research Library"
"S&P 500 Heads for Biggest 2-Year Gain This Century, History Has a Warning. And 3 Other Things to Know Today.",3150315577,Newspapers,,," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 31, 2024",, English, English, New York,"Dec 31, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/s-amp-p-500-heads-biggest-2-year-gain-this/docview/3150315577/se-2?accountid=14762," 92112 Legislative Bodies , 92812 International Affairs , 52321 Securities and Commodity Exchanges"," 92112 Legislative Bodies , 92812 International Affairs , 52321 Securities and Commodity Exchanges",," 92112 Legislative Bodies , 92812 International Affairs , 52321 Securities and Commodity Exchanges",," 92112 Legislative Bodies , 92812 International Affairs , 52321 Securities and Commodity Exchanges"," FINANCE , FINANCE , Passports & visas , Investments , SUSTAINABILITY , HUMANRESOURCES , Newsletters , SUSTAINABILITY , Cybersecurity , SUSTAINABILITY , Investors , SUSTAINABILITY , Identification documents , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=S%26amp%3BP+500+Heads+for+Biggest+2-Year+Gain+This+Century%2C+History+Has+a+Warning.+And+3+Other+Things+to+Know+Today.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=S%26amp%3BP+500+Heads+for+Biggest+2-Year+Gain+This+Century%2C+History+Has+a+Warning.+And+3+Other+Things+to+Know+Today.&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=,"ABI/INFORM Collection, Research Library"
Warren Buffett Puts Cash Reserves To Work Buying S&P 500 Underperformer,3150315573,Newspapers,"Norton, Kit",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 31, 2024",, English, English, Los Angeles,"Dec 31, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/warren-buffett-puts-cash-reserves-work-buying-s-p/docview/3150315573/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Warren+Buffett+Puts+Cash+Reserves+To+Work+Buying+S%26P+500+Underperformer&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Warren+Buffett+Puts+Cash+Reserves+To+Work+Buying+S%26amp%3BP+500+Underperformer&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Norton,ABI/INFORM Collection
These 20 stocks in the S&P 500 rose the most in 2024; Big Tech led another banner year for the U.S. large-cap benchmark stock index,3150315572,Newspapers,Philip van Doorn,," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 31, 2024",, English, English, South Brunswick,"Dec 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/these-20-stocks-s-p-500-rose-most-2024-big-tech/docview/3150315572/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=These+20+stocks+in+the+S%26P+500+rose+the+most+in+2024%3B+Big+Tech+led+another+banner+year+for+the+U.S.+large-cap+benchmark+stock+index&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=These+20+stocks+in+the+S%26amp%3BP+500+rose+the+most+in+2024%3B+Big+Tech+led+another+banner+year+for+the+U.S.+large-cap+benchmark+stock+index&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Philip+van+Doorn,ABI/INFORM Collection
Don't compare your retirement investments to the S&P 500; Retirement is about maximizing reliable cash flow for life,3150276452,Newspapers,"Anspach, Dana",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 31, 2024",, English, English, South Brunswick,"Dec 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/dont-compare-your-retirement-investments-s-p-500/docview/3150276452/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Don%27t+compare+your+retirement+investments+to+the+S%26P+500%3B+Retirement+is+about+maximizing+reliable+cash+flow+for+life&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Don%27t+compare+your+retirement+investments+to+the+S%26amp%3BP+500%3B+Retirement+is+about+maximizing+reliable+cash+flow+for+life&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Anspach,ABI/INFORM Collection
Stocks are skipping the 'Santa Claus rally' again this year. That doesn't bode well for January. The S&P 500 is heading for a loss during the typically bullish stretch for the second year in a row,3150265185,Newspapers,"Adinolfi, Joseph",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 31, 2024",, English, English, South Brunswick,"Dec 31, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stocks-are-skipping-santa-claus-rally-again-this/docview/3150265185/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Stocks+are+skipping+the+%27Santa+Claus+rally%27+again+this+year.+That+doesn%27t+bode+well+for+January.+The+S%26P+500+is+heading+for+a+loss+during+the+typically+bullish+stretch+for+the+second+year+in+a+row&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Stocks+are+skipping+the+%27Santa+Claus+rally%27+again+this+year.+That+doesn%27t+bode+well+for+January.+The+S%26amp%3BP+500+is+heading+for+a+loss+during+the+typically+bullish+stretch+for+the+second+year+in+a+row&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Adinolfi,ABI/INFORM Collection
This Biotech Is One of the S&P 500's Worst Performers. It Looks Too Cheap.,3150247981,Newspapers,"Bary, Andrew",," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 31, 2024",, English, English, New York,"Dec 31, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/this-biotech-is-one-s-amp-p-500s-worst-performers/docview/3150247981/se-2?accountid=14762,,,,,,," SUSTAINABILITY , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=This+Biotech+Is+One+of+the+S%26amp%3BP+500%27s+Worst+Performers.+It+Looks+Too+Cheap.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=This+Biotech+Is+One+of+the+S%26amp%3BP+500%27s+Worst+Performers.+It+Looks+Too+Cheap.&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=Bary,"ABI/INFORM Collection, Research Library"
