date,headline,sentiment,positive,negative,neutral
2024-01-01,Jeremy Grantham rang the alarm on an 'everything bubble' and warned the S&P 500 could be cut in half. Here are the elite investor's 10 best quotes of 2023.,neutral,0.0004,0.1737,0.8259
2024-01-02,Moderna Stock Is Top Performer in S&P 500 After Miserable 2023. Why This Year Could Be Better.,positive,1.0,0.0,0.0
2024-01-03,Divining the likely patterns for S&P 500 and Nasdaq in 2024,neutral,0.0,0.0009,0.9991
2024-01-03,Bill Ackman's High-Fee Fund Looks Appealing After Topping S&P 500 in 2023,positive,1.0,0.0,0.0
2024-01-06,"The S&P 500 could crash by 30%, a recession is likely underway, and interest rates might not fall before summer, market prophet says",negative,0.0,0.9998,0.0002
2024-01-06,WORLD MARKETS AT A GLANCE Change during previous day's trading (%) S&P 500: MARKET DATA [Europe Region],neutral,0.0,0.0,1.0
2024-01-08,UBS lifts its S&P 500 price target 6% and trumpets a dream 'soft landing' outcome,positive,1.0,0.0,0.0
2024-01-08,"Britain's best-paid woman made over $300 million last year, outearning all the CEOs of S&P 500 companies",positive,1.0,0.0,0.0
2024-01-08,A record high in the S&P 500 would suggest double-digit gains in 2024,positive,1.0,0.0,0.0
2024-01-09,Hedge Funds Lag Behind the S&P 500. Ken Griffin's Citadel Is an Exception.,neutral,0.0007,0.0465,0.9528
2024-01-09,"RBC boosts its S&P 500 price target this year to 5,150 but warns that it will be a choppy year ahead",positive,1.0,0.0,0.0
2024-01-09,"'Magnificent Seven' Lift Stocks --- S&P 500, Nasdaq Composite post best performances since November",positive,1.0,0.0,0.0
2024-01-09,"The S&P 500 might leap 10% to a record high this year - but plunging interest rates could spell trouble for stocks, Wharton professor Jeremy Siegel says",negative,0.0,0.9999,0.0
2024-01-10,"Buying the S&P 500 seems like a 'pretty lousy trade' right now - and a US recession is looming, billionaire investor Jeffrey Gundlach says",neutral,0.0003,0.0185,0.9812
2024-01-10,Why S&P 500 Pain Could Turn to Gains,positive,0.9042,0.092,0.0039
2024-01-11,Anatomy of a Rally: How S&P 500 Got Back to Record Levels,negative,0.0438,0.7023,0.2539
2024-01-13,Change during previous day's trading (%) S&P 500: MARKET DATA,neutral,0.0,0.0,1.0
2024-01-14,S&P 500s Magnificent Seven stocks outlook in 2024,neutral,0.0,0.0342,0.9657
2024-01-15,"The S&P 500 looks risky, there's a 75% chance of recession this year, and a firing frenzy is looming, elite investor Jeffrey Gundlach says",negative,0.0,0.9903,0.0096
2024-01-15,"CHART OF THE DAY: Technology stocks will grow to 50% of the S&P 500 amid a growing labor shortage, Fundstrat says",positive,0.9994,0.0,0.0006
2024-01-18,"Top money managers warn that 2024 earnings expectations are getting out of hand, even as Wall Street firms scramble to raise their S&P 500 targets",negative,0.0014,0.9847,0.0139
2024-01-19,AutoNation Stock Has Crushed the S&P 500. Edward Lampert Keeps Selling Shares.,neutral,0.2813,0.0895,0.6292
2024-01-19,S&P 500 hits all-time high as new economic data fuels rate-cut bets,positive,0.8902,0.0857,0.0241
2024-01-20,Wall Street limps to all-time high as 'sugar rush' fades: Equities. S&amp;P 500 Tech stocks nudge index past its January 2022 record after broad-based rally fizzles out,positive,0.6144,0.2401,0.1455
2024-01-20,Indian stock market: 6 key things that changed for market overnight - S&P 500 at record to US consumer sentiment,neutral,0.0001,0.0064,0.9934
2024-01-21,"The chartmaster who predicted the robust year-end rally shares when the S&P 500 will break through the 5,000 milestone - and outlines a 4-part investing blueprint for a disappointing pullback",positive,0.9988,0.0,0.0012
2024-01-22,"The S&P 500 Finally Recovers. Why Earnings, the Fed Could Stall It.",negative,0.0032,0.9962,0.0006
2024-01-22,The S&P 500 just hit an all-time high - but many other US stocks are still in a bear market,neutral,0.0044,0.3633,0.6323
2024-01-22,"The S&P 500 May Be Pricey, but These Sectors Could Outperform",positive,1.0,0.0,0.0
2024-01-22,Why JPMorgan is still bearish on stocks even after the latest record high for the S&P 500,negative,0.0,1.0,0.0
2024-01-22,"Investors warned, despite S&P 500 highs",negative,0.0,1.0,0.0
2024-01-22,The Magnificent 7 Are Pushing the S&P 500 to New Highs. What It Means for Investors.,neutral,0.003,0.0056,0.9914
2024-01-23,Stocks Are Threatened by Rising Bond Yields. How Far the S&P 500 Could Fall.,negative,0.0004,0.9924,0.0071
2024-01-23,"Dow Climbs Above 38000 for First Time --- Blue chips get lift from tech giants, Goldman; S&P 500 sets another record",positive,1.0,0.0,0.0
2024-01-23,"The rally in stocks still has room to run after the S&P 500 cruised to a new high, UBS says",positive,0.9851,0.0013,0.0136
2024-01-23,The Magnificent 7 Are Pushing the S&P 500 to New Highs. What It Means for Investors.,neutral,0.003,0.0056,0.9914
2024-01-24,Earnings Drive S&P 500 to Another High --- Dow industrials retreat below 38000; airlines power increases,positive,1.0,0.0,0.0
2024-01-24,Plain-Vanilla S&P 500 Index Funds Are Out. Here's What In.,neutral,0.0,0.0,1.0
2024-01-24,"Bitcoin Price Rebounds Above $40,000. Thank the S&P 500.",positive,1.0,0.0,0.0
2024-01-25,CME Stock Beat the S&P 500. One Director Bought Up Stock.,positive,1.0,0.0,0.0
2024-01-25,United Rentals Stock Is Among the Top S&P 500 Performers on Thursday. Here's Why.,neutral,0.4431,0.0001,0.5568
2024-01-25,"Bitcoin ETFs Make the Crypto More Like the S&P 500, Analyst Says. Why That's a Bad Thing.",negative,0.0037,0.9959,0.0005
2024-01-26,"Wall Street legend Burt Malkiel dismisses S&P 500 and recession forecasts, slams bitcoin, and warns pricey stocks may limit investors' returns",negative,0.0,1.0,0.0
2024-01-29,Archer Daniels Is S&P 500's Top Stock Monday. Intersegment Sales Won't 'Materially Affect' Results.,neutral,0.0031,0.0102,0.9867
2024-01-29,"Tech Leads S&P 500 To Records, Others Lag",neutral,0.0092,0.0002,0.9906
2024-01-29,"Big Tech Earnings, Fed Decision, Jobs Why S&P 500's Record Run Could Derail.",negative,0.0001,0.9999,0.0001
2024-01-30,"Stocks Move Higher Ahead of Fed Meeting --- S&P 500, Dow hit records with tech earnings, jobs data on tap this week",positive,1.0,0.0,0.0
2024-01-30,MSCI Stock Is the S&P 500's Top Performer on Tuesday. Demand Drives an Earnings Beat.,positive,1.0,0.0,0.0
2024-01-30,Indian stock market: 5 key things that changed for market overnight - Gift Nifty to S&P 500 at record closing high,neutral,0.0005,0.0001,0.9994
2024-01-30,"World: Weekly markets wrap: S&P 500 hits new records, luxury stocks soar",neutral,0.0407,0.0102,0.9491
2024-01-31,Market prophet Gary Shilling expects S&P 500 returns to slump - and warns a recession could stretch into 2025,negative,0.0,1.0,0.0
2024-01-31,Tech Sector Pushes S&P 500 Off Record --- General Motors gains 7.8% on surprisingly strong 2024 profit outlook,positive,1.0,0.0,0.0
2024-02-01,C.H. Robinson Stock Is S&P 500's Worst Performer Thursday. Freight Demand Is Weak.,negative,0.0,1.0,0.0
2024-02-02,Charter Stock Is Worst Performer in S&P 500 on Friday After Subscriber Losses,negative,0.0,1.0,0.0
2024-02-05,S&P 500's current rally likely to stall,negative,0.0001,0.9997,0.0002
2024-02-05,Air Products Stock Is Worst S&P 500 Performer on Monday After Steep Guidance Cut,negative,0.0002,0.9998,0.0
2024-02-07,'Stocks can get whacked': A 44-year market veteran warned the S&P 500 could fall 28% as earnings and rate cuts disappoint - but these 6 investments will thrive anyway,negative,0.0,1.0,0.0
2024-02-08,"Stocks Rise, S&P 500 Nears Milestone --- Major indexes climb despite tempered market hopes for Fed rate cuts",positive,0.9999,0.0001,0.0001
2024-02-08,"Gary Shilling says the S&P 500 may crash 30%, a recession will hit - and bitcoin and AI are both overhyped",negative,0.0,0.8847,0.1153
2024-02-08,"US stocks trade mixed as S&P 500 hovers near 5,000",neutral,0.0,0.0,1.0
2024-02-08,Why the S&P 500 keeps crushing record highs in 2024,positive,0.9835,0.0079,0.0086
2024-02-09,"S&P 500 briefly tops 5,000 on Wall Street",neutral,0.0,0.0,1.0
2024-02-09,"US stocks rise as S&P 500 sails past 5,000, boosted by cooling inflation data",positive,0.9998,0.0,0.0002
